Image Timestamp,Joint State Timestamp
,1728711298.7271883
,1728711298.7478878
,1728711298.7682834
,1728711298.7886262
,1728711298.8084605
,1728711298.8185246
,1728711298.838821
,1728711298.8588383
,1728711298.8786678
,1728711298.899895
,1728711298.919101
,1728711298.9398322
,1728711298.960352
,1728711298.979859
,1728711299.0002282
,1728711299.0206392
,1728711299.0410602
,1728711299.0611002
,1728711299.0805013
,1728711299.100879
,1728711299.1216216
,1728711299.1428149
,1728711299.1623366
,1728711299.1817522
,1728711299.202391
,1728711299.2221437
,1728711299.242037
,1728711299.2634003
,1728711299.283006
,1728711299.3027167
,1728711299.3230777
,1728711299.34344
,1728711299.3635905
,1728711299.3842986
,1728711299.4044273
,1728711299.424387
,1728711299.4442863
,1728711299.4654002
,1728711299.484728
,1728711299.5054007
,1728711299.5253863
,1728711299.5456986
,1728711299.566571
,1728711299.5863206
,1728711299.6062822
,1728711299.627139
,1728711299.6470482
,1728711299.6666062
,1728711299.687607
,1728711299.7078516
,1728711299.7277734
,1728711299.7482152
,1728711299.758665
,1728711299.788041
,1728711299.7991035
,1728711299.818223
,1728711299.8389902
,1728711299.858936
,1728711299.8797915
,1728711299.899165
,1728711299.9195492
,1728711299.939867
,1728711299.9599504
,1728711299.9799156
,1728711300.0006318
,1728711300.0207293
,1728711300.040485
,1728711300.06106
,1728711300.0811696
,1728711300.1010382
,1728711300.1212559
,1728711300.1422267
,1728711300.1617794
,1728711300.182643
,1728711300.2025158
,1728711300.222463
,1728711300.243179
,1728711300.2629552
,1728711300.2828257
,1728711300.303656
,1728711300.323458
,1728711300.3434312
,1728711300.3637624
,1728711300.3837743
,1728711300.4046774
,1728711300.4247193
,1728711300.4444325
,1728711300.464779
,1728711300.484398
,1728711300.5049472
,1728711300.5255916
,1728711300.5458634
,1728711300.565341
,1728711300.585241
,1728711300.6057413
,1728711300.6265185
,1728711300.6458879
,1728711300.6663258
,1728711300.6867332
,1728711300.707316
,1728711300.726994
,1728711300.7473314
,1728711300.7687333
,1728711300.7872732
,1728711300.8087518
,1728711300.8284798
,1728711300.8484128
,1728711300.8584661
,1728711300.8789213
,1728711300.8990636
,1728711300.918779
,1728711300.9390101
,1728711300.9591875
,1728711300.9801524
,1728711301.0004075
,1728711301.019876
,1728711301.040297
,1728711301.0608785
,1728711301.0803294
,1728711301.1008477
,1728711301.1217496
,1728711301.1413507
,1728711301.161455
,1728711301.1813607
,1728711301.2017791
,1728711301.2223988
